time_s,delta_t_s,thrust_N,mass_flow_g_per_s,cumulative_impulse_Ns,remaining_impulse_Ns,propellant_mass_burned_g,propellant_mass_remaining_g,motor_mass_g,motor_mass_kg,burn_fraction
0.000,0.000,0.000,0.000000,0.000000,76.334767,0.000000,40.700000,71.000000,0.071000,0.000000
0.015,0.015,28.220,15.046276,0.211650,76.123117,0.112847,40.587153,70.887153,0.070887,0.002773
0.077,0.062,26.082,13.906342,1.895012,74.439755,1.010378,39.689622,69.989622,0.069990,0.024825
0.201,0.124,24.934,13.294254,5.058004,71.276763,2.696815,38.003185,68.303185,0.068303,0.066261
0.310,0.109,22.806,12.159652,7.659834,68.674933,4.084053,36.615947,66.915947,0.066916,0.100345
0.464,0.154,20.183,10.761127,10.969987,65.364780,5.848953,34.851047,65.151047,0.065151,0.143709
0.573,0.109,17.886,9.536417,13.044747,63.290020,6.955169,33.744831,64.044831,0.064045,0.170889
0.789,0.216,16.075,8.570832,16.712536,59.622232,8.910752,31.789248,62.089248,0.062089,0.218937
1.068,0.279,13.946,7.435697,20.900465,55.434302,11.143663,29.556337,59.856337,0.059856,0.273800
1.393,0.325,12.630,6.734035,25.219065,51.115702,13.446244,27.253756,57.553756,0.057554,0.330375
1.718,0.325,11.155,5.947598,29.084128,47.250640,15.507010,25.192990,55.492990,0.055493,0.381008
2.166,0.448,9.844,5.248602,33.787903,42.546864,18.014959,22.685041,52.985041,0.052985,0.442628
2.677,0.511,9.515,5.073186,38.734128,37.600639,20.652175,20.047825,50.347825,0.050348,0.507424
3.311,0.634,9.187,4.898304,44.662662,31.672105,23.813138,16.886862,47.186862,0.047187,0.585089
3.683,0.372,8.859,4.723422,48.019218,28.315549,25.602779,15.097221,45.397221,0.045397,0.629061
3.791,0.108,9.679,5.160627,49.020270,27.314497,26.136518,14.563482,44.863482,0.044863,0.642175
4.101,0.310,9.679,5.160627,52.020760,24.314007,27.736312,12.963688,43.263688,0.043264,0.681482
4.658,0.557,9.515,5.073186,57.366289,18.968478,30.586429,10.113571,40.413571,0.040414,0.751509
5.168,0.510,9.023,4.810863,62.093479,14.241288,33.106862,7.593138,37.893138,0.037893,0.813436
5.725,0.557,9.023,4.810863,67.119290,9.215477,35.786512,4.913488,35.213488,0.035213,0.879275
6.112,0.387,8.531,4.548539,70.515989,5.818778,37.597557,3.102443,33.402443,0.033402,0.923773
6.329,0.217,8.859,4.723422,72.402804,3.931963,38.603565,2.096435,32.396435,0.032396,0.948491
6.499,0.170,7.546,4.023359,73.797229,2.537538,39.347041,1.352959,31.652959,0.031653,0.966758
6.685,0.186,5.742,3.061507,75.033013,1.301754,40.005933,0.694067,30.994067,0.030994,0.982947
6.778,0.093,4.921,2.623768,75.528842,0.805925,40.270299,0.429701,30.729701,0.030730,0.989442
6.917,0.139,2.625,1.399592,76.053289,0.281478,40.549922,0.150078,30.450078,0.030450,0.996313
7.025,0.108,1.312,0.699529,76.265887,0.068880,40.663275,0.036725,30.336725,0.030337,0.999098
7.130,0.105,0.000,0.000000,76.334767,0.000000,40.700000,0.000000,30.300000,0.030300,1.000000
